p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
13,22.1,83,5.74,2788,2,2,4,3.71,64.59
0,24,70,7.56,6958,2,2,4,4.83,63.92
0,28.1,57,4.07,2982,2,2,4,2.03,49.79
2,24.6,79,3.40,320,2,3,5,1.25,36.73
0,24.6,72,6.42,1593,4,0,4,4.76,74.05
0,30.2,66,3.81,6288,2,2,4,2.23,58.51
0,26.9,52,5.08,11372,3,2,5,2.93,57.64
0,26.7,56,6.44,2453,2,3,5,4.57,70.97
0,26.9,57,9.83,4468,5,2,7,5.75,58.47
37.5,28.1,67,5.76,9755,2,2,4,3.25,56.42
0,27.5,70,7.15,2608,5,3,8,3.99,55.74
0,27.7,69,6.10,4845,2,3,5,4.17,68.33
0.5,25.7,69,5.66,4023,2,1,3,3.17,55.98
53,24.6,85,7.04,744,2,3,5,4.40,62.52
2,27.9,76,5.46,10252,4,0,4,4.04,74.03
0,27.9,74,4.52,13101,4,8,12,1.17,25.83
0,25.7,73,7.73,4853,7,1,8,3.58,46.27
0.5,25.5,71,5.69,2461,2,1,3,3.63,63.87
0,23.6,71,8.77,2259,2,1,3,6.30,71.85
12.5,26.6,70,4.30,6229,8,1,9,2.80,65.15
1,23.9,80,5.84,6367,4,0,4,3.25,55.61
0,21.7,68,6.60,7555,2,4,6,4.02,60.83
0,22.2,58,5.59,3999,2,3,5,4.09,73.20
0,22.4,60,1.90,11172,4,2,6,0.88,46.37
0,17.6,69,4.96,3919,2,0,2,1.79,36.14
0,18.5,62,7.07,2200,0,9,9,4.31,60.89
0,20.3,54,4.91,5548,3,2,5,4.91,100.00
0,20.8,59,4.05,3125,2,2,4,2.48,61.27
0,23.3,56,5.03,8796,5,1,6,2.90,57.61
109.5,17.4,88,6.53,996,2,1,3,4.38,67.05
0,19.2,70,3.43,824,2,1,3,1.48,43.14
0,17.8,66,10.56,2480,2,4,6,3.97,37.58
0,14.4,64,5.34,5870,2,6,8,3.34,62.48
0,15.2,69,8.07,2506,3,2,5,4.29,53.12
0,16.2,69,4.97,1698,2,3,5,2.50,50.34
0.5,15.9,79,5.96,3409,2,0,2,3.00,50.36
0,12.7,55,3.62,6596,4,3,7,1.73,47.84
6,14.6,91,7.47,4039,3,15,18,5.42,72.53
0,15.8,87,5.87,3385,2,1,3,2.58,44.04
0,15.6,47,6.92,8124,10,3,13,3.58,51.74
0,14.3,62,7.78,2922,3,0,3,3.88,49.89
0.5,14.1,85,6.56,509,2,0,2,3.34,50.96
0,7.7,77,4.17,9825,9,17,26,1.86,44.65
0,8.7,71,4.85,3770,5,4,9,1.85,38.12
0,9.5,66,7.86,12309,3,2,5,4.81,61.21
7.5,12.2,88,8.77,4307,5,4,9,4.77,54.37
1,10.7,81,5.35,1800,2,3,5,2.22,41.48
0,2.6,59,6.89,3801,3,1,4,4.64,67.33
0,2.5,52,7.23,3597,4,1,5,4.07,56.27
18,1.4,78,8.31,1502,2,4,6,3.95,47.53
0,5.1,66,4.81,5806,4,2,6,1.75,36.35
0,3.8,46,9.14,1502,1,3,4,5.08,55.62
0,1.5,59,6.11,3700,4,2,6,2.70,44.23
0,3.2,75,8.28,940,6,2,8,5.31,64.16
0,4.5,61,8.10,8710,5,2,7,3.91,48.36
0,1.3,47,6.50,2468,7,0,7,1.83,28.19
0,-0.2,45,6.99,2666,6,3,9,3.89,55.58
0,2.3,42,6.41,9017,2,3,5,3.80,59.19
0,1.2,57,8.27,4005,4,3,7,3.47,41.98
0,3.4,62,5.47,6433,2,1,3,3.67,67.01
0,3.9,44,6.48,7399,6,2,8,4.97,76.62
0,2.8,56,4.17,6199,2,1,3,2.06,49.48
0,3.5,36,10.78,6985,2,3,5,5.53,51.27
0,2.1,62,5.77,8334,2,0,2,2.05,35.52
